zone,no_swinging,ball,called_strike,swinging,foul,foul_tip,hit_into_play,swinging_strike,single,double,home_run,walk,hit_into_play(LA),hard hit
1,25,1,24,77,36,3,15,23,3,2,0,0,98.90,14
2,12,1,11,75,37,1,18,19,2,2,0,0,87.90,9
3,22,4,18,46,19,1,16,10,4,0,1,1,87.34,7
4,29,1,28,62,28,1,21,12,2,1,0,0,84.90,5
5,25,0,25,83,36,2,39,6,9,2,2,0,96.21,26
6,25,0,25,58,26,0,28,4,6,2,1,0,87.97,12
7,40,3,37,45,16,1,21,7,3,1,1,0,86.97,9
8,34,1,33,53,17,1,24,11,6,0,2,0,91.67,15
9,31,2,29,41,23,1,13,4,0,2,2,0,92.47,9
11,195,187,8,67,25,2,17,23,2,1,1,15,86.51,4
12,90,80,10,50,21,2,14,13,6,0,0,1,77.99,2
13,105,94,11,38,6,2,14,16,3,0,0,1,77.71,0
14,145,139,6,50,20,1,9,20,0,1,0,8,84.69,3
